Aquation of trans-[Co(en)2Cl2]+,,,,wavelength in nm,,time in minutes,,40 C,Co=6mm,H+=0.1M HNO3,,I=0.4M KNO3,,,,,,,,
wavelength,0,15,30,45,60,75,90,105,120,135,150,165,180,195,210,225,240,255,270,285
398,0.102816,0.10307,0.103388,0.103079,0.10345,0.103886,0.103915,0.104076,0.104269,0.104325,0.104502,0.104658,0.104669,0.104728,0.104602,0.104532,0.104472,0.104431,0.104232,0.104104
399,0.101794,0.101985,0.102225,0.101877,0.102114,0.102602,0.102396,0.102528,0.102531,0.102726,0.102639,0.102697,0.102777,0.102816,0.10265,0.102541,0.102372,0.102269,0.102113,0.101853
400,0.100842,0.100855,0.101076,0.100685,0.100819,0.101074,0.101031,0.101037,0.100925,0.100935,0.10095,0.100941,0.100989,0.100919,0.100684,0.100449,0.100334,0.100266,0.099915,0.099627
401,0.09989,0.099838,0.100064,0.099361,0.099483,0.099717,0.099547,0.099588,0.099431,0.099401,0.099291,0.099125,0.099118,0.099042,0.098571,0.098458,0.09831,0.09807,0.097763,0.097478
402,0.098854,0.098753,0.098917,0.098154,0.098243,0.098398,0.098121,0.098004,0.097803,0.097725,0.097508,0.097391,0.097255,0.097006,0.096685,0.096587,0.096195,0.095965,0.095597,0.095352
403,0.097956,0.097715,0.097601,0.097,0.097001,0.096917,0.09659,0.096483,0.09619,0.096045,0.095873,0.09556,0.095467,0.0953,0.094836,0.09459,0.094241,0.093902,0.093435,0.093167
404,0.096805,0.096465,0.096586,0.09571,0.095686,0.095684,0.095164,0.094923,0.094642,0.094415,0.094211,0.094002,0.093711,0.093404,0.092919,0.092673,0.092166,0.091957,0.091395,0.091032
405,0.095967,0.095338,0.095403,0.094538,0.094281,0.094378,0.09375,0.093495,0.093156,0.092784,0.092472,0.092189,0.091887,0.091577,0.090979,0.090681,0.090311,0.089906,0.089451,0.089118
406,0.094979,0.09438,0.09425,0.093272,0.092913,0.092937,0.092311,0.092015,0.091614,0.091224,0.09084,0.090537,0.090075,0.089713,0.089277,0.088889,0.088352,0.087881,0.087443,0.086956
407,0.093939,0.093209,0.093049,0.092068,0.091779,0.091505,0.091031,0.09065,0.090024,0.08961,0.089215,0.088833,0.088426,0.087985,0.087474,0.08703,0.086444,0.086049,0.085508,0.08513
408,0.092962,0.092156,0.091878,0.090852,0.090417,0.09017,0.089586,0.08918,0.088569,0.088133,0.087672,0.08726,0.086762,0.086203,0.085629,0.085225,0.084598,0.084215,0.083619,0.083305
409,0.091818,0.091009,0.090658,0.089609,0.089177,0.088884,0.088142,0.087766,0.087062,0.08663,0.086061,0.085627,0.085099,0.084577,0.083878,0.083437,0.082879,0.082451,0.081661,0.081378
410,0.090943,0.09001,0.089595,0.088428,0.087939,0.087718,0.086858,0.08634,0.085626,0.085044,0.084596,0.084044,0.083496,0.082975,0.082311,0.081742,0.081192,0.080505,0.079846,0.07958
411,0.089925,0.088909,0.088373,0.087343,0.086767,0.086375,0.085487,0.085026,0.084329,0.083678,0.083055,0.082504,0.08182,0.081352,0.08065,0.080131,0.079432,0.078966,0.078199,0.077737
412,0.088891,0.087908,0.087298,0.086154,0.08554,0.085042,0.084185,0.083649,0.08282,0.082349,0.081611,0.081084,0.080497,0.079877,0.07912,0.078569,0.077799,0.077263,0.07671,0.076055
413,0.087811,0.086762,0.086281,0.084896,0.084417,0.083802,0.082963,0.082363,0.081547,0.080788,0.080292,0.079546,0.078901,0.078427,0.077585,0.077032,0.076285,0.075704,0.074979,0.074509
414,0.086898,0.085695,0.085146,0.083753,0.083171,0.082724,0.081816,0.081023,0.080289,0.079618,0.078888,0.078299,0.07754,0.076987,0.076251,0.075601,0.074866,0.074219,0.073584,0.073042
415,0.085915,0.0847,0.084026,0.082686,0.082034,0.081554,0.080551,0.079757,0.079081,0.078366,0.077651,0.076888,0.076222,0.075642,0.074829,0.074146,0.073477,0.072982,0.072104,0.071691
416,0.084932,0.083614,0.082965,0.081569,0.080976,0.080475,0.079429,0.078729,0.077812,0.077098,0.07628,0.075625,0.074906,0.074234,0.073513,0.072853,0.072153,0.07147,0.070807,0.07023
417,0.083969,0.082704,0.082065,0.080526,0.079725,0.079306,0.078319,0.077453,0.076704,0.075937,0.075178,0.074548,0.073719,0.073106,0.072265,0.071642,0.070833,0.070306,0.069485,0.068984
418,0.083033,0.081698,0.080973,0.079545,0.078803,0.078229,0.07718,0.076452,0.075544,0.074895,0.073998,0.073358,0.072571,0.071879,0.071112,0.070492,0.06966,0.069049,0.068239,0.067697
