Aquation of trans-[Co(en)2Cl2]+,,,,wavelength in nm,,time in minutes,,40 C,Co=6mm,H+=0.1M HNO3,,I=0.4M KNO3,,,,,,,,
wavelength,0,15,30,45,60,75,90,105,120,135,150,165,180,195,210,225,240,255,270,285
380,0.118724,0.120222,0.121898,0.12283,0.12449,0.12602,0.127315,0.128825,0.130126,0.131536,0.132799,0.134104,0.1352,0.136344,0.137239,0.138164,0.139094,0.139774,0.140737,0.141455
381,0.117832,0.119382,0.120961,0.122045,0.123473,0.125154,0.126315,0.127744,0.128895,0.130204,0.131444,0.132589,0.133904,0.135027,0.135608,0.136668,0.137492,0.138305,0.139138,0.139875
382,0.117138,0.118725,0.120206,0.121037,0.122495,0.123985,0.125168,0.126661,0.127745,0.128865,0.130306,0.13127,0.132446,0.133349,0.13433,0.135175,0.135885,0.136775,0.137313,0.138135
383,0.116381,0.117766,0.11918,0.119987,0.121579,0.123041,0.124057,0.125397,0.126501,0.127841,0.128926,0.129987,0.130967,0.131888,0.132715,0.133636,0.13433,0.135113,0.135619,0.136316
384,0.115462,0.116773,0.118201,0.119061,0.120489,0.121827,0.1229,0.124179,0.125181,0.126366,0.127586,0.128608,0.129546,0.13037,0.131092,0.13204,0.13255,0.133304,0.133744,0.134497
385,0.114555,0.11598,0.117399,0.118046,0.119389,0.120749,0.121594,0.122944,0.123941,0.125004,0.126123,0.127025,0.127925,0.128818,0.129497,0.13018,0.130948,0.131417,0.132023,0.132548
386,0.113807,0.11497,0.116388,0.116948,0.118165,0.119551,0.120441,0.121648,0.122552,0.123514,0.124632,0.125435,0.126238,0.127104,0.127712,0.128298,0.129077,0.129533,0.130143,0.130649
387,0.112888,0.114033,0.115348,0.115842,0.117111,0.118328,0.119167,0.1203,0.121118,0.122239,0.122987,0.123895,0.124831,0.125394,0.126042,0.126532,0.127107,0.127578,0.128146,0.128628
388,0.112044,0.113148,0.114317,0.114797,0.115941,0.117112,0.117793,0.118852,0.119698,0.120608,0.121539,0.122327,0.123091,0.123716,0.124151,0.124807,0.125226,0.125718,0.126053,0.126389
389,0.11121,0.112103,0.113299,0.113733,0.114749,0.115956,0.11651,0.117556,0.118242,0.118977,0.119859,0.120564,0.121237,0.121891,0.122319,0.122858,0.123272,0.123663,0.123955,0.124348
390,0.110282,0.111152,0.112133,0.112588,0.113524,0.11458,0.115258,0.116049,0.116708,0.117533,0.11825,0.118862,0.119438,0.119995,0.120317,0.120777,0.121157,0.121551,0.121812,0.122159
391,0.109299,0.110178,0.111103,0.111387,0.112322,0.113335,0.113702,0.114569,0.115147,0.115892,0.116511,0.117149,0.117614,0.118131,0.118531,0.118779,0.119187,0.119414,0.119671,0.119879
392,0.108528,0.109217,0.110046,0.110221,0.111044,0.11192,0.112418,0.113093,0.113683,0.114239,0.114898,0.115384,0.115779,0.116249,0.116612,0.116895,0.117081,0.117317,0.117473,0.117624
393,0.107521,0.108039,0.109058,0.109049,0.109807,0.110721,0.111015,0.111683,0.112151,0.11257,0.113142,0.113664,0.113909,0.114284,0.114573,0.114874,0.11496,0.115108,0.11529,0.115461
394,0.106564,0.107147,0.107866,0.107811,0.108585,0.109305,0.109576,0.110216,0.110545,0.110942,0.111383,0.111783,0.11228,0.112427,0.11262,0.112873,0.112985,0.113215,0.113073,0.113132
395,0.105689,0.10618,0.106637,0.106619,0.107276,0.108004,0.108286,0.108678,0.108972,0.109349,0.109667,0.109995,0.11021,0.110414,0.110583,0.1107,0.110736,0.110942,0.110964,0.110896
396,0.104723,0.105121,0.105682,0.105387,0.105983,0.106611,0.10665,0.107112,0.107323,0.107751,0.107962,0.108235,0.108407,0.108516,0.108561,0.108549,0.108672,0.108704,0.108613,0.108683
397,0.103804,0.104061,0.104711,0.104357,0.104601,0.105201,0.105243,0.105742,0.10583,0.105994,0.106199,0.106452,0.106528,0.106675,0.106623,0.106612,0.106509,0.106468,0.106367,0.106418
